"companySize","empPrimTech","empProvideMHB","knowMHB","empDiscMH","empResourceMH","anonProtected","askLeaveDiff","negConsDiscMH","negConsDiscPH","coworkComfMHD","superComfMHD","empSeriousMH","heardNegConsMH","discInterviewPH","explanationPH","discInterviewMH","explanationMH","hurtCareerMH","teamNegMH","observeBadResponseMH","diagnosedWithMHD","age","gender","country"
"6-25",1,2,4,1,1,3,6,2,1,3,3,3,1,2,"",2,"",1,2,2,"No",23,"male","India"
"26-100",1,3,4,3,3,1,6,2,1,3,2,1,1,1,"Only if an accommodation were needed as condition of employment, or I needed the answer in deciding whether to accept employment",2,"Not if I wanted to get hired!",3,4,2,"No",58,"Male","United States of America"
"1-5",1,3,2,1,2,1,1,1,1,2,1,2,1,1,"It depends on the relevance for the job and my functioning there-in",1,"Same, depends on the relevance to my function",4,1,1,"Yes",35,"M","Netherlands"
"500-1000",2,3,3,2,2,3,4,3,1,1,3,3,1,3,"Immediate disqualification",2,"Immediate dismissal",3,4,2,"No",59,"female","United States of America"
"6-25",1,2,4,1,1,1,3,1,1,2,1,2,1,1,"depends what the issue is.",1,"Depends on the type of mental disorder.",2,1,1,"No",26,"male","United States of America"
"6-25",1,3,4,1,3,1,3,2,1,3,2,3,1,1,"If the health issue would not impact my performance, then I may not bring it up. ",3,"I would bring up any issue that would affect my performance of that jobs duties ",1,2,3,"No",45,"Male","United States of America"
"1-5",1,1,1,1,2,2,1,1,1,1,1,2,1,3,"My physical health is a personal issue.  I would only discuss this with people after I have established that I can trust them.",2,"I would only discuss my mental health issues with a person after I have established that I can trust them.  I also want to show that it will not affect my job performance before I reveal any sort of personal issues.",2,1,1,"Yes",28,"Female","United States of America"
"26-100",1,3,2,1,1,3,3,3,2,1,2,3,2,1,"Let's be realistic, it would harm my career.",2,"It would harm my career",3,4,4,"Yes",33,"Male","United Kingdom"
"100-500",2,3,2,3,2,2,1,1,1,1,2,2,1,1,"",1,"",1,1,2,"No",42,"male","Germany"
"More than 1000",1,3,3,2,3,1,6,2,1,1,1,1,1,1,"Don't currently have one, so not sure I'd have anything to bring up. Haven't had to think about it.",2,"General sense of stigma.",3,4,4,"Yes",37,"Male","United States of America"
"More than 1000",2,2,3,1,1,3,5,2,1,3,3,3,1,3,"",2,"",3,4,1,"No",41,"Male","United States of America"
"100-500",1,4,3,1,3,2,6,2,1,1,2,1,1,1,"It wouldn't affect my ability to perform the work, so would be unlikely to affect the outcome of an interview",1,"It _may_ affect the outcome of an interview, so I'd be reluctant to bring it up",1,2,2,"No",39,"M","United States of America"
"100-500",1,3,2,3,3,2,2,1,1,1,1,2,1,1,"It would depend on the issue, and whether or not I think it would impact the work I do",1,"Depends on whether or not I feel it would impact my ability to do the work on a regular basis.",2,1,1,"Yes",42,"Male","United States of America"
"26-100",1,3,2,2,2,1,6,2,2,2,2,1,1,1,"",1,"",3,4,3,"Yes",26,"nb masculine","Germany"
"26-100",1,3,2,1,1,1,5,3,1,3,3,3,1,3,"",2,"",3,2,2,"Yes",43,"m","United States of America"
"500-1000",1,3,2,2,2,1,2,1,1,2,1,2,2,3,"Nobody's business but my own.",2,"Nobody's business but my own.",2,1,3,"Yes",32,"Male","United States of America"
"500-1000",1,2,4,1,1,2,1,1,1,1,1,1,1,3,"I have RSI and don't want them to think I'm not worth investing in.",2,"It's none of their business until it affects my work",1,1,1,"No",23,"M","Netherlands"
"26-100",1,3,2,1,1,3,2,1,1,1,2,3,1,1,"Depends on the feel of the interview",2,"I feel that it would only hurt my chances at employment, or have no bearing at all.",1,1,2,"No",39,"male","United States of America"
"26-100",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"",1,"",1,1,1,"Yes",39,"Male","United Kingdom"
"26-100",1,4,3,1,3,1,2,1,1,2,1,1,1,3,"",2,"Interviewers may not be trained on how to respond to this.",1,2,1,"Yes",40,"Male","United States of America"
"100-500",1,3,3,2,3,1,2,1,1,3,2,3,1,1,"It depends on the type of issue. If it was something common, then I would be more likely as I feel as though they would be more willing to accommodate me.",2,"I don't think it's very transparent to many employers how mental health issues might affect a person's workplace efficacy, and I wouldn't want to lose a potential position because of that thought (whether or not the interviewer made that decision consciously or not).",1,2,1,"No",24,"Male","Canada"
"500-1000",1,4,4,1,1,1,2,1,1,3,2,1,1,1,"",1,"",1,2,1,"No",33,"m","Germany"
"6-25",1,4,3,1,3,3,3,2,2,3,2,1,1,1,"It would depend on whether I thought it might impact the job.",1,"Depend on the job",1,2,1,"No",61,"f","United States of America"
"26-100",1,4,4,1,1,2,1,2,1,1,2,1,1,3,"",2,"",1,2,1,"No",29,"M","United States of America"
"More than 1000",1,3,2,1,2,1,6,3,2,3,3,1,2,3,"Discrimination and not hired",2,"Discrimination and not hired",5,2,2,"No",31,"Female","United States of America"
"More than 1000",1,3,2,2,2,2,4,2,2,3,2,3,1,1,"I don't require accommodations and I'm afraid of discrimination. ",2,"Fear of discrimination.",3,4,1,"Yes",33,"female","United Arab Emirates"
"26-100",1,4,3,1,1,1,5,2,1,3,2,1,1,3,"Not comfortable speaking about anything health related at work.",2,"Don't want to set a bad precedent. ",1,2,1,"Yes",28,"Male","United States of America"
"26-100",2,2,4,1,1,3,4,3,3,3,3,3,1,3,"If I want the job, I should be at my full health, so. It's cultural thing here too.",2,"same reason",3,4,4,"No",43,"Male","Poland"
"26-100",1,3,2,3,2,2,1,1,1,2,1,2,1,1,"Never know how they coudl take it? ",1,"Never know what they will do with that information",1,1,2,"No",28,"female","United States of America"
"100-500",1,4,3,1,1,1,2,2,2,1,3,3,1,1,"",2,"",3,2,2,"No",36,"male","United States of America"
"More than 1000",1,4,4,3,3,1,2,3,2,3,3,1,1,1,"It seems like it would generally be useless information but may lend towards casual conversation. Like ice breaking.",2,"The tech field seems highly reliant on mental capabilities. So I would fear that any issues disclosed here might negatively impact my standing (justified or not).",1,2,1,"No",30,"male","United States of America"
"500-1000",2,2,4,1,1,3,3,3,2,3,3,1,1,3,"The field is already too competitive to disadvantage myself. Plus, it's none of their business as long as it doesn't seriously affect my work.",2,"That would be a one way ticket out from consideration.",3,4,4,"No",29,"male","United States of America"
"6-25",2,3,3,1,2,3,3,1,1,2,1,2,1,1,"Depends on the view of the employer about mental health.",1,"Depends on the amount of open view on it",2,1,1,"Yes",30,"Male","Netherlands"
"100-500",1,2,4,1,1,1,2,2,2,3,3,3,1,3,"It's non of their business. ",2,"",3,4,2,"No",33,"male","Israel"
