"companySize","empPrimTech","empProvideMHB","knowMHB","empDiscMH","empResourceMH","anonProtected","askLeaveDiff","negConsDiscMH","negConsDiscPH","coworkComfMHD","superComfMHD","empSeriousMH","heardNegConsMH","discInterviewPH","explanationPH","discInterviewMH","explanationMH","hurtCareerMH","teamNegMH","observeBadResponseMH","diagnosedWithMHD","age","gender","country"
"More than 1000",2,4,3,2,1,1,1,2,2,3,2,2,1,1,"",1,"",3,2,1,"No",37,"male","Netherlands"
"More than 1000",2,4,4,1,3,2,1,2,2,1,1,1,1,1,"Only if it would affect my future work.",1,"Only if it is relevant for the work.",1,2,5,"No",34,"female","Netherlands"
"More than 1000",2,3,2,1,2,1,6,2,1,3,3,1,1,1,"",2,"",1,2,1,"No",40,"Male","United Kingdom"
"More than 1000",2,3,3,2,3,1,2,2,1,3,2,1,1,2,"",2,"",3,4,2,"No",36,"male","Germany"
"6-25",1,2,3,1,1,1,3,2,2,1,2,1,1,1,"Could impact their willingness to hire, even subconsciously.",2,"Stigma.",3,2,2,"No",37,"male","United States of America"
"More than 1000",2,3,4,1,2,1,3,2,2,3,2,3,1,3,"Would risk not getting the job.",2,"",3,4,1,"No",45,"Male","United States of America"
"26-100",1,3,3,1,3,2,2,2,2,1,3,1,1,1,"I wouldn't want it to affect my ability to get the position",2,"I feel it would negatively effect my ability to get the position",3,2,1,"No",23,"Male","United States of America"
"26-100",1,4,3,1,1,1,2,1,1,1,2,1,1,3,"I would be afraid it would negatively impact my chances.",2,"I would be afraid it would negatively impact my chances.",1,4,2,"Yes",46,"Female","United States of America"
"100-500",1,3,3,3,3,1,1,1,1,2,1,2,1,2,"",1,"",4,5,1,"Yes",27,"Male","United States of America"
"6-25",1,2,1,1,2,1,1,1,1,2,1,2,1,1,"",1,"It might be important to know how they react to such things.",1,1,1,"No",37,"male","United Kingdom"
"100-500",1,4,3,1,1,1,3,2,2,3,3,2,1,1,"Depends if it's relevant",1,"depends if it's relevant",3,1,1,"No",37,"Male","United Kingdom"
"500-1000",1,2,4,1,1,2,1,1,1,1,1,1,1,3,"I have RSI and don't want them to think I'm not worth investing in.",2,"It's none of their business until it affects my work",1,1,1,"No",23,"M","Netherlands"
"26-100",1,3,2,1,1,2,5,2,1,1,2,2,1,1,"I had brain surgery in 1997. Bringing that up is pretty much a no job. On top of that hell they want to look at your DNA first these days. Sad days.",1,"That is a slippery slope. In my opinion your chances of getting the job are much less if you bring up mental health issues.",3,2,4,"Yes",40,"Male","United States of America"
"1-5",1,2,4,1,1,3,2,1,1,1,1,3,1,2,"They're usually temporary and you know when it'll be gone",1,"I don't have one, so it's hard to relate",1,1,1,"No",29,"M","Denmark"
"100-500",1,3,2,2,2,2,2,1,1,2,1,2,1,1,"Concern it could overshadow legit issues",1,"Concern it could overshadow other issues",2,5,1,"Yes",37,"Male","United States of America"
"100-500",1,3,2,3,2,2,5,1,1,2,1,2,1,1,"Depending on how strong my position as interviewee is, I might prefer to wait until the offer stage rather than bring it up at interview",2,"I would likely prefer to wait until the offer stage to discuss mental health issue / accommodations, rather than in the interview",1,2,2,"No",34,"female","United States of America"
"500-1000",1,3,4,1,3,1,1,2,1,1,2,1,1,2,"",2,"Wouldn't want marks against me",3,4,2,"Yes",39,"Male","United States of America"
"500-1000",1,3,3,3,2,1,2,2,1,1,2,2,1,1,"",1,"",1,2,1,"Yes",28,"Male","United States of America"
"More than 1000",1,3,2,1,2,1,5,3,2,3,3,3,1,1,"It depends on the nature of the issue and how it may impact my ability to work.",2,"I would not because I am very concerned that it would negatively affect my chances for employment.",3,4,1,"Yes",42,"Male","United States of America"
"100-500",1,3,2,1,2,2,5,2,1,1,1,2,1,1,"I wouldn't bring it up unless absolutely necessary for my day-to-day job function, out of fear of discrimination or not being hired.",2,"I wouldn't bring it up unless absolutely necessary for my day-to-day job function, out of fear of discrimination or not being hired.",3,4,2,"No",33,"female","United States of America"
"26-100",1,4,1,1,3,2,1,1,1,2,1,1,1,2,"It's best to be up front about stuff if possible - if the employer is aware, then it is easier to judge their attitude towards it (positive or negative) before accepting a position.",3,"Same as physical health reason really. Coupled with the fact that nowadays I feel it's even more important to highlight mental health issues rather than sweeping under the carpet.",2,1,1,"No",35,"Male","United Kingdom"
"500-1000",1,4,4,2,3,1,2,2,1,2,2,1,1,2,"",2,"",3,4,1,"No",30,"Male","Sweden"
"26-100",1,4,4,1,1,1,5,2,1,3,3,1,1,3,"Wouldn't want that to be counted against me when compared to other candidates.",2,"Again, wouldn't want it to be held against me compared to other candidates.",2,1,1,"Yes",30,"male","United States of America"
"6-25",1,2,4,1,1,1,5,3,1,3,3,1,1,2,"",1,"",1,4,1,"Yes",44,"male","United States of America"
"500-1000",1,2,4,1,1,1,3,1,1,1,2,2,1,3,"",2,"",3,2,1,"No",28,"Male","Germany"
"100-500",1,3,2,3,3,2,2,1,1,1,1,2,1,1,"It would depend on the issue, and whether or not I think it would impact the work I do",1,"Depends on whether or not I feel it would impact my ability to do the work on a regular basis.",2,1,1,"Yes",42,"Male","United States of America"
"1-5",1,3,4,1,1,1,2,2,1,2,1,1,1,1,"Depends whether it would affect my ability to carry out the job.",2,"Stigma.",5,5,3,"Yes",30,"female","United Kingdom"
"100-500",1,4,3,1,3,1,6,2,2,3,2,3,1,1,"",2,"",3,1,1,"No",36,"m","Russia"
"500-1000",1,4,4,1,1,1,3,2,2,3,2,2,1,2,"If it may affect my productivity, my employer should know about it",1,"Same reason, it may affect my productivity.",5,1,1,"No",30,"male","Russia"
"6-25",1,4,4,1,1,1,3,2,2,3,3,2,1,1,"",1,"",1,1,5,"No",29,"Male","United States of America"
"500-1000",1,4,4,3,3,1,6,2,2,1,2,3,1,1,"",2,"",1,2,1,"No",25,"male","United States of America"
"26-100",1,2,1,1,1,1,2,1,1,1,2,2,1,2,"Yes, Is important if can affect work.",1,"Yes, If can affect work",1,2,1,"No",25,"Male","Belgium"
"More than 1000",1,2,4,1,1,3,2,3,1,3,3,3,1,2,"cos i don't have any physical health problems",2,"cos I have a lot of crap in my head and i am ashamed about it",5,1,1,"No",25,"m","Russia"
"26-100",1,3,2,1,1,2,1,1,1,2,1,2,1,2,"",3,"I like to be open about it up front ",4,5,1,"Yes",31,"Male ","Denmark"
"500-1000",1,3,3,1,3,1,2,2,1,1,2,2,1,3,"Unless it's something obvious like I'm disabled",2,"Seems too private to share",3,4,1,"No",29,"female","United States of America"
"500-1000",1,3,3,1,1,2,1,1,1,3,3,2,1,2,"",1,"",2,1,5,"No",26,"Male","Germany"
"500-1000",1,3,2,3,3,2,1,1,1,2,1,2,1,2,"If it was something that affected my work, yes.",1,"Stigma.",1,1,1,"No",38,"Female","United States of America"
"26-100",1,3,2,1,2,2,1,1,1,2,1,2,1,2,"Honesty, always the best policy, even if it means I don't get the job.",3,"Same as any issue, I'm looking for employers that enjoy me exactly as I am. Not some glossed up version of myself",1,1,1,"No",30,"Male","United States of America"
"100-500",1,2,4,1,1,1,1,2,1,1,2,1,1,1,"It might affect my performance and workplace",3,"It might affect my performance and relations with the colleagues",1,2,1,"No",31,"m","Germany"
"500-1000",1,4,3,1,3,1,1,1,1,3,2,1,1,3,"",2,"",1,2,1,"No",27,"Male ","Germany"
"More than 1000",1,1,1,2,2,2,1,3,1,1,2,2,1,1,"If it looked like you'd take a lot of time off or die soon",2,"Because they wouldn't employ you",5,1,3,"Yes",45,"Male","United Kingdom"
"500-1000",1,3,2,1,2,1,6,2,1,1,2,1,1,2,"no stigma, high probability of sympathy/understanding",1,"uncertainty about their reaction",1,2,2,"Yes",30,"M","United States of America"
"More than 1000",1,3,2,2,2,2,4,2,2,3,2,3,1,1,"I don't require accommodations and I'm afraid of discrimination. ",2,"Fear of discrimination.",3,4,1,"Yes",33,"female","United Arab Emirates"
"500-1000",1,3,3,1,2,1,6,2,1,3,3,1,2,2,"",2,"Even with more education on mental health, there is still a stigma and negative outcome in the work place if one is known to be 'on medication'.",5,3,3,"Yes",45,"female","Canada"
"1-5",2,2,2,2,1,3,2,1,1,2,1,3,1,1,"Only got ask",1,"Only if got ask",3,1,1,"No",36,"Male","Mexico"
"26-100",1,3,2,2,2,2,2,1,1,1,2,2,2,1,"I worry it would affect my chances of employment.",1,"I worry it would affect my chances of employment",1,2,3,"Yes",28,"Male","United States of America"
"26-100",1,3,3,3,3,1,2,1,1,1,1,2,1,3,"Naturally, I'd be afraid that they wouldn't hire me.",2,"Naturally, I'd be afraid that they wouldn't hire me.",1,2,1,"Yes",36,"Male","United States of America"
"26-100",1,3,2,3,2,2,1,1,1,2,1,2,1,3,"My interview process involves checking my baggage at the door. If it's someplace I wouldn't feel comfortable bringing that type of thing up after being hired, I don't want to be interviewing there anyway. Trust.",2,"Again, check my baggage at the door. My ADHD and general anxiety are well-managed enough that most of the time, they'll never have to worry about it anyway. At the same time, I'm proactive about bringing it up at my current gig, because I don't want it to be a ""new thing"" if I'm suddenly in a bad way.",2,1,2,"Yes",25,"Male","United States of America"
"More than 1000",2,3,2,2,2,2,3,2,2,1,2,2,2,1,"despite the fact that the Canadian human rights act forbids discrimination based on mental or physical health, many public sector companies will try to cross the line by asking questions that touch on health as a way to minimize insurance premium costs",2,"Same as above",3,2,4,"No",37,"M","Canada"
"100-500",1,3,2,2,2,1,5,3,2,1,3,3,1,3,"",2,"",3,4,2,"No",32,"Male","United States of America"
"26-100",1,3,3,2,3,1,5,2,1,1,2,3,1,1,"If I felt it would decrease the odds of getting the position, I'd probably omit the information.",2,"The stigma of mental illness is something that I am not sure I feel most employers would be willing to look past in an interview. I'm already a woman, which some view as a burden (will she need to leave for childcare? is she as capable of this job as her male counterparts?) and adding the additional 'burden' of having a mental health issue seems like it'd stack the cards against me.",1,1,3,"Yes",31,"Female","United States of America"
"100-500",1,2,4,1,1,1,4,3,2,3,3,3,2,2,"I think they would see it as temporary, maybe even view you as hardy/resilient",2,"Because the employer would use it to measure how competent/high maintenance I was",5,1,3,"Yes",27,"female","United Kingdom"
"26-100",1,3,2,1,2,2,2,2,1,1,2,1,1,1,"",2,"",1,2,4,"Yes",28,"female","United States of America"
"6-25",1,4,2,1,1,1,2,1,1,3,2,2,2,3,"",1,"",1,1,1,"Yes",26,"Male","Germany"
"26-100",1,3,3,3,2,1,1,1,1,1,2,2,1,3,"Even though not legal, it could be a factor in hiring. Also, none of their business.",2,"See previous.",1,1,1,"No",36,"Male","United States of America"
"500-1000",1,3,2,1,1,1,4,2,2,1,2,3,1,2,"Physical health issues are more socially/culturally acceptable and would not reflect as poorly on the interviewee as a mental health issue.",2,"",1,2,2,"Yes",24,"Male","United States of America"
"More than 1000",1,3,3,3,3,1,3,1,1,2,3,1,1,1,"",1,"",2,1,1,"Yes",31,"Male","United States of America"
"26-100",1,3,4,2,3,2,4,2,2,1,3,1,1,1,"I'd only bring it up in an interview if the issue required accommodation.",1,"I'd only bring it up if I felt comfortable & also would need accommodations. But probably a lot less likely to bring it up than a physical health issue.",1,2,2,"No",27,"female/woman","United States of America"
"More than 1000",1,3,3,3,2,1,2,1,1,3,2,1,1,1,"",2,"My problem to work with, not theirs",3,2,4,"No",27,"Cis male","United States of America"
"100-500",1,3,2,1,1,1,6,1,1,1,2,1,1,3,"Personal health issues don't belong in the interview process, as it inherently makes the interview particularly hostile to the interviewee and their organization (because HR law, especially as relating to anti-discrimination, is a thing).",2,"Personal health issues don't belong in the interview process, as it inherently makes the interview particularly hostile to the interviewee and their organization (because HR law, especially as relating to anti-discrimination, is a thing).",2,1,1,"Yes",28,"Male","United States of America"
"6-25",1,3,2,1,1,1,4,3,2,3,3,3,1,3,"I wouldn't want to bring up anything that may trigger unconscious bias and therefore hinder my chances of receiving a job",2,"Mental health issues are still a taboo subject.",5,4,1,"Yes",20,"Female","United States of America"
"100-500",1,4,4,1,3,1,5,3,2,3,3,1,1,3,"It's my problem, not theirs.",2,"It's my problem, not theirs.",1,4,2,"No",29,"male","United States of America"
"6-25",1,2,4,1,1,3,5,3,2,3,3,3,1,3,"Fear of discrimination",2,"Fear of discrimination",3,4,4,"Yes",54,"m","United States of America"
"500-1000",1,4,4,1,1,1,2,1,1,3,2,1,1,1,"",1,"",1,2,1,"No",33,"m","Germany"
"6-25",1,2,4,1,1,3,6,2,2,3,3,3,2,1,"depends if I feel comfortable enough",1,"depends if I feel comfortable enough",3,2,4,"No",29,"male","Netherlands"
"26-100",1,4,4,2,3,1,2,1,1,2,1,2,1,1,"Only if it would affect performance.",2,"",1,2,1,"No",26,"male","United Kingdom"
"100-500",1,4,4,1,1,1,6,3,3,3,3,1,1,3,"That is none of their business and it would affect their decision regardless of policy",2,"It would affect their decision regardless of policy ",3,4,1,"Yes",38,"Female","United States of America"
"100-500",2,3,3,2,2,1,1,1,1,2,1,2,1,2,"physical health is not always a reason to not being able to work",3,"There is mental health issues in my family",1,1,3,"Yes",33,"Female","Switzerland"
"500-1000",1,3,2,2,2,2,2,1,1,2,1,2,1,1,"It may affect the hiring managers decision if I bring this up. Although, an interview is about ensuring the employer is a good fit for me too. So I would have to consider my options at the time.",1,"It may affect the hiring managers decision if I bring this up. Although, an interview is about ensuring the employer is a good fit for me too. So I would have to consider my options at the time.",3,2,3,"Yes",31,"m","United Kingdom"
"More than 1000",2,1,1,1,1,1,2,2,1,2,1,3,1,1,"",1,"",2,5,4,"Yes",24,"N/A","United Kingdom"
"1-5",2,2,3,1,1,1,4,2,2,1,2,3,2,2,"Because I'd die if I had to physically work beyond my capacity.",1,"Mental health is not seen as an issue by most employers.",3,4,4,"Yes",56,"m","Australia"
"100-500",1,4,3,1,3,2,6,2,1,1,2,1,1,1,"It wouldn't affect my ability to perform the work, so would be unlikely to affect the outcome of an interview",1,"It _may_ affect the outcome of an interview, so I'd be reluctant to bring it up",1,2,2,"No",39,"M","United States of America"
"500-1000",1,4,4,1,3,1,1,1,1,1,2,2,1,3,"I don't think i need it",2,"I don't think I need it.",3,2,2,"No",31,"female","Russia"
"100-500",1,3,3,2,1,1,1,1,1,1,2,2,1,3,"",2,"",1,2,1,"No",34,"Male","United Kingdom"
"26-100",2,4,4,1,1,1,2,1,1,2,1,2,1,2,"I would discuss it to make sure I was open and up front about myself and who I am/how I work",1,"I depends on what degree it affects my work. If it affects how I work I would want to be up front about that.",1,1,1,"No",36,"Male","United States of America"
